3114 1
9167 10
1672 4
5607 8
3567 8
6261 5
7460 10
813 6
1746 10
781 4
1480 4
9597 8
1109 3
2685 2
10475 1
10085 8
3444 2
2494 6
11123 2
8502 10
10013 1
8844 3
7584 7
2012 3
3859 1
8654 1
10471 1
2145 10
4093 6
4430 1
3672 3
7718 9
799 6
792 8
10826 2
610 10
10274 4
4364 3
9456 4
8633 2
10852 5
4953 4
6019 1
9886 4
8618 5
3394 1
10623 10
10031 10
1733 1
1926 3
8205 8
736 4
11111 4
5019 7
7087 1
6654 8
5569 9
5803 9
11024 1
10161 10
3399 9
1903 7
10432 1
6396 7
11126 4
679 9
5271 8
454 2
7649 10
6150 1
4034 4
2378 8
8719 6
4878 8
7658 10
10965 7
9122 1
10505 4
929 10
4247 10
9463 4
10468 5
8745 10
3297 10
2418 7
11152 4
1986 4
2290 4
2358 10
8979 1
7423 3
6025 4
7258 9
8995 3
1328 6
3579 6
2110 4
3430 7
4805 8
8960 3
7995 1
2293 5
7233 8
4008 4
9505 3
4508 10
3960 6
11675 2
9259 5
6775 4
6254 10
10230 10
4193 4
8291 4
3268 10
5985 4
1074 1
7218 7
7549 10
787 8
4824 1
10948 1
7229 8
1686 8
4325 3
10986 6
4519 10
5627 6
7629 10
8856 10
9269 10
4365 9
11577 8
2003 1
9851 4
5910 5
408 10
7279 4
1877 10
1451 10
6098 10
8840 7
6865 6
2487 0
8703 2
11154 4
10742 0
4889 8
9789 2
3545 3
2819 0
3359 1
10521 3
10494 10
6705 10
10640 10
2810 1
629 10
8340 8
6024 3
3167 10
3881 8
3062 2
2212 7
10863 6
3339 2
8777 3
2859 10
8906 8
9341 10
936 1
2785 10
2102 4
10165 2
2674 2
8320 10
3640 7
10792 8
5356 10
4575 7
512 9
565 10
176 10
4940 3
6698 9
4513 1
5544 8
7838 3
6534 6
2180 6
10255 1
11690 1
8909 6
2666 1
11513 1
1592 7
8498 10
4283 10
2473 4
4281 2
11417 7
6843 7
7975 2
3455 9
6644 8
7109 7
3926 8
3157 1
10931 6
8103 1
7655 10
199 6
11531 10
7797 8
2269 8
9029 4
1961 8
8582 3
4847 6
924 10
8681 8
3896 2
6323 2
3055 10
75 1
6767 4
10940 8
8008 1
11679 6
1252 1
9281 5
8769 10
7164 10
451 7
4218 4
3687 1
2540 1
5730 6
8910 6
8415 8
4821 1
7519 8
5537 7
475 8
1546 4
6745 4
6978 8
5 3
5340 9
8684 1
8836 10
4882 7
1392 4
1261 10
9059 6
10403 2
10933 6
1417 4
9576 1
7973 5
6783 6
7274 7
5455 8
5427 10
8456 5
3667 8
6480 4
8697 3
11156 3
11259 7
6549 1
855 10
10171 10
3885 10
10379 1
4431 10
9742 10
5645 9
8031 10
4760 9
4346 7
6532 6
1572 4
714 1
7997 3
10877 10
5184 5
78 10
1811 10
641 2
10900 10
3093 8
10251 6
1713 5
1106 3
6232 1
7312 7
7237 3
8470 10
10056 6
599 9
995 1
5357 1
8748 1
6522 6
10791 10
10787 2
6266 10
